ax,ay,az
8572,260,660
8830,298,372
8450,40,426
8614,128,390
8626,92,78
8544,244,106
8612,150,140
8516,278,-542
8586,330,-1284
8816,202,-1310
8898,226,-982
8782,180,-942
8702,142,-1084
8658,228,-794
8704,174,-688
9206,76,-702
8624,12,-962
8694,84,-716
8776,198,-944
8832,114,-1120
8626,274,-1248
8768,294,-1130
8752,208,-962
8722,194,-990
8670,188,-956
8700,176,-1040
8722,196,-1284
8704,166,-1296
8666,174,-1024
8690,198,-996
8670,236,-1082
8752,244,-1122
8718,180,-1232
8716,200,-1086
8722,212,-1166
8684,168,-1396
8650,190,-1278
8642,206,-1138
8666,206,-1322
8646,220,-1140
8730,258,-1108
8674,216,-1308
8702,160,-1386
8642,216,-1210
8604,174,-1092
8688,142,-1248
8700,212,-1170
8748,184,-1196
8696,196,-1264
8760,218,-1354
8716,198,-1374
8690,162,-1084
8648,210,-1102
8684,198,-1240
8688,154,-1378
8724,138,-1268
8678,184,-1356
8710,208,-1090
8708,160,-1102
8700,236,-1198
8736,172,-1372
8678,212,-1330
8672,180,-1344
8666,244,-1106
8660,192,-1232
8700,210,-1280
8688,162,-1362
8688,208,-1284
8688,172,-1250
8730,180,-1232
8728,180,-1376
8700,202,-1350
8674,184,-1250
8696,228,-1236
8744,214,-1268
8690,152,-1418
8680,192,-1290
8666,172,-1282
8722,206,-1224
8692,178,-1338
8712,194,-1274
8734,156,-1388
8614,192,-1206
8674,176,-1278
8630,138,-1238
8702,188,-1388
8758,182,-1426
8738,164,-1210
8674,200,-1266
8746,152,-1268
8708,142,-1342
8704,134,-1324
8712,210,-1454
8660,150,-1350
8686,174,-1324
8732,166,-1302
8672,198,-1310
8746,144,-1416
8704,230,-1370
8680,208,-1266
8756,136,-1228
8722,250,-1404
8762,174,-1386
8698,230,-1382
8692,184,-1252
8696,206,-1302
8704,174,-1338
8672,208,-1390
8732,204,-1510
8762,194,-1412
8712,170,-1206
8676,170,-1254
8758,198,-1278
8724,222,-1328
8726,210,-1568
8716,214,-1526
8706,196,-1352
8674,192,-1210
8700,198,-1442
8674,200,-1452
8728,232,-1334
8740,208,-1472
8748,170,-1268
8692,186,-1400
8698,186,-1424
8700,168,-1486
8686,150,-1350
8688,198,-1360
8658,158,-1384
8656,206,-1418
8714,180,-1460
8732,202,-1424
8740,208,-1470
8722,196,-1444
8738,216,-1354
8704,176,-1350
8672,242,-1420
8760,206,-1532
8710,162,-1496
8670,196,-1342
8686,232,-1384
8674,196,-1414
8660,216,-1488
8726,180,-1430
8686,170,-1406
8716,180,-1410
8678,194,-1480
8698,178,-1508
8702,152,-1438
8648,160,-1398
8716,162,-1426
8734,196,-1416
8680,166,-1448
8714,154,-1592
8700,182,-1436
8700,204,-1296
8640,158,-1382
8688,214,-1478
8740,168,-1358
8676,148,-1446
8720,212,-1526
8716,176,-1496
8686,194,-1356
8650,190,-1396
8706,238,-1494
8714,236,-1476
8732,248,-1428
8702,172,-1534
8730,194,-1498
8654,148,-1504
8678,236,-1494
8696,204,-1486
8714,182,-1368
8688,164,-1494
8748,214,-1640
8694,182,-1604
8696,154,-1422
8706,222,-1480
8676,206,-1616
8706,160,-1504
8678,206,-1406
8710,190,-1556
8704,136,-1584
8708,178,-1390
8732,158,-1414
8680,248,-1504
8684,222,-1544
8640,224,-1454
8732,128,-1502
8658,164,-1584
8724,198,-1484
8674,242,-1424
8678,196,-1516
8732,132,-1462
8694,200,-1474
8722,200,-1554
8696,224,-1546
8682,202,-1468
8714,216,-1384
8676,168,-1534
8722,210,-1622
8642,178,-1496
8666,196,-1562
8730,224,-1468
8716,184,-1476
8664,184,-1474
8654,208,-1448
8678,146,-1480
8716,202,-1442
8694,152,-1458
8678,192,-1538
8700,160,-1404
8654,190,-1342
8722,214,-1448
8706,174,-1544
8728,242,-1452
8686,170,-1548
8672,196,-1512
8744,206,-1538
8704,176,-1456
8744,222,-1298
8728,192,-1534
8712,198,-1502
8712,168,-1378
8666,164,-1436
8728,216,-1488
8714,194,-1500
8686,188,-1518
8664,180,-1516
8692,164,-1492
8684,168,-1248
8726,220,-1288
8676,204,-1538
8654,214,-1544
8716,156,-1524
8666,218,-1290
8688,204,-1324
8738,174,-1374
8746,236,-1390
8746,130,-1530
8658,134,-1442
8666,180,-1300
8730,158,-1370
8630,236,-1516
8684,190,-1404
8658,218,-1494
8692,190,-1466
8722,168,-1384
8650,200,-1254
8676,146,-1452
8662,198,-1532
8694,172,-1492
8732,168,-1274
8648,174,-1446
8722,212,-1446
8646,162,-1464
8758,184,-1370
8704,186,-1448
8694,170,-1398
8686,184,-1294
8720,208,-1452
8706,134,-1502
8682,200,-1454
8662,182,-1402
8634,132,-1404
8666,182,-1396
8698,204,-1480
8670,180,-1496
8698,178,-1488
8658,138,-1298
8710,218,-1314
8704,194,-1432
8720,174,-1486
8670,222,-1390
8654,172,-1468
8746,170,-1468
8738,180,-1406
8724,232,-1314
8684,188,-1394
8720,140,-1540
8720,196,-1596
8704,188,-1366
8696,236,-1406
8654,180,-1482
8684,234,-1394
8702,226,-1500
8692,214,-1554
8668,170,-1492
8692,160,-1338
8690,206,-1350
8690,146,-1536
8646,174,-1600
8680,180,-1476
8702,194,-1364
8694,214,-1376
8606,178,-1392
8732,154,-1476
8724,200,-1550
8706,240,-1546
8662,152,-1372
8722,222,-1416
8684,192,-1498
8658,152,-1466
8700,206,-1428
8704,186,-1500
8678,180,-1476
8654,198,-1440
8716,168,-1414
8688,216,-1516
8740,206,-1502
8680,142,-1400
8682,156,-1420
8680,238,-1442
8666,260,-1472
8706,218,-1542
8696,198,-1504
8702,168,-1516
8712,176,-1388
8738,246,-1408
8678,150,-1476
8688,166,-1542
8716,216,-1560
8682,210,-1430
8670,154,-1400
8702,180,-1474
8718,186,-1414
8644,174,-1426
8682,128,-1450
8710,204,-1550
