ax,ay,az
822,-508,7584
1252,-488,6848
1458,-434,6576
1266,-468,6612
1216,-506,6766
1178,-538,6876
1222,-564,6838
1354,-552,6678
1354,-584,6846
1232,-524,7064
1078,-478,7124
1010,-448,7098
1126,-330,7034
1220,-414,6784
1242,-434,6960
1166,-446,7152
1102,-478,7074
1306,-478,6920
1210,-440,6860
1306,-382,7004
1194,-422,6956
886,-440,7160
902,-178,7608
1704,-708,8164
1464,-294,6652
1982,-394,6386
2624,-618,5910
2268,-454,5798
1918,-296,6642
2094,-240,7088
2474,-316,7312
3526,-386,6758
4526,-840,7392
2856,-898,6810
2844,-320,6562
3114,446,6130
4004,482,6048
4416,-154,6326
4118,-556,5220
3792,-594,5012
4188,102,5618
5086,-602,5700
5072,-350,5230
6086,-238,4354
6312,-510,4458
6088,-448,5082
5954,-356,4562
7028,-152,4284
7158,-832,4760
6254,536,3864
6750,-252,3716
6384,-538,3630
7154,-438,3344
7100,-804,3676
6954,-586,3494
7404,118,3438
7360,-218,2844
7788,-78,2524
7578,-260,2346
7702,-226,2668
7504,-416,2940
7634,-492,3078
7738,-564,2950
7728,-464,2960
7736,-476,3170
7554,-426,3334
7658,-328,3248
7564,-284,3224
7688,-198,3426
7572,-266,3594
7476,-248,3622
6968,-240,3590
6280,-492,3602
7070,-108,3748
6846,232,5118
6412,-568,5248
5334,-790,5522
4536,-1024,5574
3836,-1042,5460
3486,-1158,5882
3278,-1022,6180
3026,-754,6312
1984,-782,6232
1396,-966,5790
1050,-868,6130
-178,-1036,7054
82,-1054,6952
1526,-742,5838
2634,-742,6622
2214,-240,6318
1934,74,8074
316,-612,7070
222,-786,7012
684,-654,7244
850,-440,7094
1162,-498,6962
1012,-498,7040
-11868,-2016,10176
4256,254,6146
1274,98,6238
-12368,-3356,11986
782,1948,7190
19700,4930,6374
7672,1828,4838
1692,-1318,2954
-330,-1606,5490
-1942,-1042,7766
-2130,-582,9572
-1688,-634,9598
-376,-844,8090
704,-640,6682
1540,-418,5990
1654,-386,6078
992,-314,6518
30,-488,7102
-372,-484,7252
110,-446,7226
584,-544,6954
758,-676,6638
632,-554,6850
316,-548,7072
288,-646,7178
420,-730,7012
500,-708,7052
490,-606,7006
430,-528,6952
426,-608,6926
548,-528,6710
708,-588,6962
504,-706,7024
314,-638,7094
332,-546,7112
472,-536,6974
606,-532,6854
500,-622,6938
426,-564,6966
432,-462,7024
368,-494,6978
494,-596,6936
578,-586,6892
596,-556,6886
516,-578,7048
534,-574,7102
636,-666,6966
696,-648,6938
648,-598,7000
576,-608,7008
652,-652,6900
558,-602,6894
384,-538,7058
534,-508,6958
712,-606,7022
766,-644,6976
640,-684,7002
474,-652,7180
422,-636,7156
644,-658,6984
610,-602,6928
640,-506,6836
752,-438,6678
788,-450,6728
768,-556,6734
634,-678,6996
730,-816,7164
742,-892,6876
736,-828,6770
634,-706,6796
394,-644,6994
-9934,-5368,9426
9040,1466,6168
11430,5986,7944
-136,-910,5708
86,-1498,6194
1448,-944,7598
1038,-780,7244
-10,-1014,8112
60,-1072,7964
1336,-806,7586
1674,-486,6962
1078,-538,6834
756,-554,6856
592,-602,6840
658,-592,6992
226,-532,6776
820,-436,7124
228,-816,6494
274,-912,6478
486,-620,7046
448,-676,7086
384,-702,6908
548,-668,6814
598,-586,6848
536,-536,6840
510,-638,7074
572,-652,7248
690,-640,7150
830,-596,7028
698,-538,7152
644,-614,7130
714,-610,7054
660,-604,7174
620,-582,6934
700,-636,6790
874,-700,6966
790,-616,6886
648,-676,6798
694,-628,6978
1114,-584,7294
826,-818,6906
594,-756,6838
356,-790,6966
294,-718,6994
468,-616,7078
544,-658,6970
708,-538,6832
